stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding
2101,2101,"des GRIVES/de l'ARC-EN-CIEL",,  45.440977, -75.786348,,,0,1
2103,2103,"des GRIVES/de l'ARC-EN-CIEL",,  45.441116, -75.785890,,,0,1
2104,2104,"SAINT-JOSEPH/NICOLET",,  45.439323, -75.732729,,,0,1
2106,2106,"SAINT-JOSEPH/NICOLET",,  45.438431, -75.733031,,,0,1
2107,2107,"SAINT-JOSEPH/JEANNE-D'ARC",,  45.439613, -75.732987,,,0,1
2108,2108,"SAINT-JOSEPH/SAINTE-MARIE",,  45.441668, -75.732635,,,0,1
2110,2110,"SAINT-JOSEPH/SAINTE-MARIE",,  45.442024, -75.732887,,,0,1
2112,2112,"SAINT-JOSEPH/GAMELIN",,  45.444754, -75.732822,,,0,1
2113,2113,"des GRIVES/du COSMOS",,  45.442793, -75.785246,,,0,1
2114,2114,"SAINT-JOSEPH/GAMELIN",,  45.444846, -75.732542,,,0,1
2115,2115,"des GRIVES/du COSMOS",,  45.442818, -75.785511,,,0,1
2116,2116,"SAINT-JOSEPH/CHARLES-CHURCH",,  45.448471, -75.734262,,,0,1
2118,2118,"SAINT-JOSEPH/CHARLES-CHURCH",,  45.448933, -75.734568,,,0,1
2119,2119,"des GRIVES/de la ROSÉE",,  45.439350, -75.786960,,,0,1
2120,2120,"SAINT-JOSEPH/RENÉ-MARENGÈRE",,  45.450272, -75.736132,,,0,1
2122,2122,"SAINT-JOSEPH/RENÉ-MARENGÈRE",,  45.449751, -75.735778,,,0,1
2124,2124,"SAINT-JOSEPH/CURÉ-ROBERT",,  45.451528, -75.737923,,,0,1
2125,2125,"des GRIVES/de l'ATMOSPHERE",,  45.437569, -75.785566,,,0,1
2126,2126,"SAINT-JOSEPH/CURÉ-ROBERT",,  45.451532, -75.737703,,,0,1
2128,2128,"SAINT-JOSEPH/VALIN",,  45.452902, -75.739540,,,0,1
2130,2130,"SAINT-JOSEPH/VALIN",,  45.453209, -75.739588,,,0,1
2131,2131,"des GRIVES/du PLATEAU",,  45.435706, -75.780731,,,0,1
2132,2132,"SAINT-JOSEPH/CHARRON",,  45.454838, -75.741014,,,0,1
2133,2133,"du PLATEAU/des GRIVES",,  45.435397, -75.779357,,,0,1
2134,2134,"SAINT-JOSEPH/CHARRON",,  45.455115, -75.741029,,,0,1
2136,2136,"du PLATEAU/des GRIVES",,  45.435043, -75.781135,,,0,1
2137,2137,"du PLATEAU/du SATELLITE",,  45.436029, -75.777128,,,0,1
2138,2138,"SAINT-JOSEPH/MEUNIER",,  45.457083, -75.742510,,,0,1
2139,2139,"du PLATEAU/du SATELLITE",,  45.435855, -75.776214,,,0,1
2140,2140,"SAINT-JOSEPH/MEUNIER",,  45.458286, -75.742079,,,0,1
2141,2141,"SAINT-JOSEPH/ISABELLE",,  45.459316, -75.741812,,,0,1
2142,2142,"SAINT-JOSEPH/JEAN-PROULX",,  45.464244, -75.739407,,,0,1
2143,2143,"SAINT-JOSEPH/JEAN-PROULX",,  45.465960, -75.738559,,,0,1
2144,2144,"SAINT-JOSEPH/JEAN-PROULX",,  45.464964, -75.739390,,,0,1
2146,2146,"SAINT-JOSEPH/JEAN-PROULX",,  45.468078, -75.738062,,,0,1
2147,2147,"SAINT-JOSEPH/JEAN-PROULX",,  45.468886, -75.737866,,,0,1
2149,2149,"SAINT-JOSEPH/JEAN-PROULX",,  45.469562, -75.738286,,,0,1
2151,2151,"TERMINUS Parc-o-bus FREEMAN",,  45.473303, -75.741598,,,0,1
2153,2153,"TERMINUS FREEMAN",,  45.473368, -75.741400,,,0,1
2154,2154,"SAINT-JOSEPH/JUNEAU",,  45.475386, -75.742469,,,0,1
2155,2155,"Freeman/St-Joseph - temps d'attente",,  45.473348, -75.741377,,,0,1
2156,2156,"SAINT-JOSEPH/JUNEAU",,  45.474657, -75.742091,,,0,1
2161,2161,"FREEMAN/AUDET",,  45.472921, -75.741717,,,0,1
2162,2162,"FREEMAN/AUDET",,  45.472489, -75.746384,,,0,2
2164,2164,"FREEMAN/du TALUS",,  45.472489, -75.744990,,,0,1
2165,2165,"des HAUTES-PLAINES/FREEMAN",,  45.471372, -75.757779,,,0,2
2166,2166,"FREEMAN/du DÔME",,  45.472193, -75.748990,,,0,2
2167,2167,"FREEMAN/du DÔME",,  45.472316, -75.748658,,,0,2
2168,2168,"FREEMAN/du DÔME",,  45.471991, -75.752212,,,0,1
2169,2169,"des HAUTES-PLAINES/de la CITADELLE",,  45.471593, -75.758040,,,0,2
2170,2170,"FREEMAN/ALPHONSE-LUSIGNAN",,  45.471905, -75.751596,,,0,1
2171,2171,"FREEMAN/du PAYSAGE",,  45.471526, -75.754559,,,0,1
2172,2172,"des HAUTES-PLAINES/du PARCOURS",,  45.471843, -75.761658,,,0,1
2173,2173,"des HAUTES-PLAINES/FREEMAN",,  45.471257, -75.754364,,,0,2
2174,2174,"des HAUTES-PLAINES/du PARCOURS",,  45.471594, -75.761606,,,0,1
2175,2175,"des HAUTES-PLAINES/du TERROIR",,  45.474974, -75.773768,,,0,1
2176,2176,"des HAUTES-PLAINES/du VAL-PERCHÉ",,  45.473439, -75.764692,,,0,1
2177,2177,"des HAUTES-PLAINES/du CONTREFORT",,  45.474410, -75.767558,,,0,1
2178,2178,"des HAUTES-PLAINES/du VAL-PERCHÉ",,  45.472964, -75.764385,,,0,1
2179,2179,"des HAUTES-PLAINES/de la FONDRIÈRE",,  45.474054, -75.766939,,,0,1
2180,2180,"des HAUTES-PLAINES/de la SABLIÈRE",,  45.474835, -75.771159,,,0,1
2181,2181,"de la CITÉ-DES-JEUNES/du PLEIN-AIR",,  45.471531, -75.780645,,,0,1
2182,2182,"des HAUTES-PLAINES/de la FALAISE",,  45.474550, -75.770857,,,0,2
2184,2184,"des HAUTES-PLAINES/du TERROIR",,  45.474728, -75.773665,,,0,1
2185,2185,"de la CITÉ-DES-JEUNES/du PLEIN-AIR",,  45.469623, -75.778998,,,0,2
2188,2188,"de la CITÉ-DES-JEUNES/TALBOT",,  45.462960, -75.770306,,,0,1
2189,2189,"de la CITÉ-DES-JEUNES/du PLEIN-AIR",,  45.470212, -75.779273,,,0,1
2191,2191,"de la CITÉ-DES-JEUNES/de l'AVIRON",,  45.467040, -75.775933,,,0,1
2192,2192,"de la CITÉ-DES-JEUNES/TALBOT",,  45.462333, -75.769735,,,0,1
2193,2193,"de la CITÉ-DES-JEUNES/de l'AVIRON",,  45.467878, -75.777420,,,0,2
2194,2194,"de la CITÉ-DES-JEUNES/du MONT-BLEU",,  45.460815, -75.768026,,,0,1
2195,2195,"de la CITÉ-DES-JEUNES/de l'AVIRON",,  45.468400, -75.777672,,,0,1
2196,2196,"de l'ATMOSPHÈRE/des GRIVES",,  45.437757, -75.786266,,,0,1
2197,2197,"de la CITÉ-DES-JEUNES/de l'AVIRON",,  45.466514, -75.775527,,,0,2
2198,2198,"de l'ATMOSPHÈRE/de l'ÉTÉ",,  45.436957, -75.787416,,,0,1
2200,2200,"de la CITÉ-DES-JEUNES/PERRAS",,  45.456696, -75.764935,,,0,1
2203,2203,"de l'ATMOSPHÈRE/de l'ÉQUATEUR",,  45.440226, -75.780922,,,0,1
2204,2204,"de la CITÉ-DES-JEUNES/PERRAS",,  45.456076, -75.763191,,,0,1
2205,2205,"de la CITÉ-DES-JEUNES/PERRAS",,  45.456055, -75.762817,,,0,1
2206,2206,"de la CITÉ-DES-JEUNES/des ÉGLANTIERS",,  45.454317, -75.759765,,,0,1
2208,2208,"de la CITÉ-DES-JEUNES/THÉRIEN",,  45.454212, -75.759265,,,0,1
2210,2210,"CENTRE ASTICOU",,  45.450424, -75.761759,,,0,1
2212,2212,"de la CITÉ-DES-JEUNES",,  45.451253, -75.757653,,,0,1
2213,2213,"de l'ATMOSPHÈRE/de la GRAVITÉ",,  45.440170, -75.779737,,,0,1
2214,2214,"de la CITÉ-DES-JEUNES/BÉDARD",,  45.450357, -75.756963,,,0,1
2215,2215,"de la CITÉ-DES-JEUNES/SAINT-RAYMOND",,  45.446705, -75.751134,,,0,1
2216,2216,"de la CITÉ-DES-JEUNES/BÉDARD",,  45.448488, -75.753830,,,0,1
2217,2217,"de l'ATMOSPHÈRE/de L'ÉCLIPSE",,  45.440056, -75.776286,,,0,1
2218,2218,"de la CITÉ-DES-JEUNES/BÉDARD",,  45.448306, -75.753994,,,0,1
2219,2219,"de l'ATMOSPHÈRE/de l'ÉCLIPSE",,  45.439876, -75.776245,,,0,2
2220,2220,"de l'ATMOSPHÈRE/de la SAPINIÈRE",,  45.439439, -75.774423,,,0,1
2221,2221,"de la CITÉ-DES-JEUNES/PERRAS",,  45.457052, -75.765417,,,0,1
2223,2223,"de la CITÉ-DES-JEUNES/RIEL",,  45.464707, -75.772974,,,0,2
2225,2225,"de l'ATMOSPHÈRE/de l'ASTROLABE",,  45.437735, -75.773428,,,0,2
2226,2226,"RIEL/du RAVIN-BLEU",,  45.465563, -75.771352,,,0,1
2227,2227,"de la CITÉ-DES-JEUNES/RIEL",,  45.465281, -75.773577,,,0,1
2228,2228,"RIEL/du RAVIN-BLEU",,  45.465294, -75.771234,,,0,1
2230,2230,"d'EUROPE/PINK",,  45.442506, -75.795342,,,0,2
2231,2231,"de l'ATMOSPHÈRE/de la SAPINIÈRE",,  45.439339, -75.774505,,,0,2
2232,2232,"d'ANDROMÈDE/d'EUROPE",,  45.442186, -75.795914,,,0,1
